"","x"
"1",-0.0708741278613161
"2",-0.070626743216053
"3",-0.0703810494942445
"4",-0.0701370858187147
"5",-0.0698948331701104
"6",-0.0696541911856912
"7",-0.0694151698789938
"8",-0.0691779235348804
"9",-0.0689422376017319
"10",-0.068708178396264
"11",-0.0684757025301224
"12",-0.0682448763709544
"13",-0.0680155444970296
"14",-0.0677878637179674
"15",-0.0675615602813195
"16",-0.0673368172119808
"17",-0.0671136760392983
"18",-0.0668918427254539
"19",-0.0666716357918631
"20",-0.0664527938897663
"21",-0.0662354380438046
"22",-0.0660195002001274
"23",-0.0658048824934667
"24",-0.0655917412059353
"25",-0.0653799449974031
"26",-0.0651695947435655
"27",-0.0649605148373666
"28",-0.0647528790304932
"29",-0.0645464622903091
"30",-0.0643413553152641
"31",-0.0641375791474275
"32",-0.0639350636829477
"33",-0.0637339042878011
"34",-0.0635339829441364
"35",-0.0633353373723367
"36",-0.0631379351525538
"37",-0.0629417582695169
"38",-0.0627467985959811
"39",-0.0625529697608727
"40",-0.0623603630301659
"41",-0.0621689920790232
"42",-0.061978872079635
"43",-0.0617898348173185
"44",-0.0616020267552813
"45",-0.0614153351925779
"46",-0.0612296977014921
"47",-0.0610451813899999
"48",-0.0608618301102979
"49",-0.0606796298761765
"50",-0.0604984945166507
"51",-0.0603183905768674
"52",-0.060139485525724
"53",-0.0599615194150829
"54",-0.0597846320961253
"55",-0.0596088377460546
"56",-0.059434030608827
"57",-0.0592602960550721
"58",-0.0590875057459925
"59",-0.0589157720241928
"60",-0.0587449947415735
"61",-0.0585753027753526
"62",-0.0584064499762462
"63",-0.0582386922051228
"64",-0.0580718286855699
"65",-0.0579059223855438
"66",-0.0577410167661583
"67",-0.0575770498890051
"68",-0.0574139705913694
"69",-0.0572517673426773
"70",-0.0570905574495555
"71",-0.0569302145067923
"72",-0.0567708471007791
"73",-0.0566122768013884
"74",-0.0564546910773061
"75",-0.0562979144888232
"76",-0.056142063185689
"77",-0.0559871211098653
"78",-0.0558329451887403
"79",-0.0556796467972163
